station_type,material_name,material_required
Orbital - Installation - Tourist,Wine,259
Orbital - Installation - Space Bar,Wine,621
Surface - Settlement - Tourism T1 S,Wine,156
Surface - Settlement - Tourism T1 M,Wine,312
Surface - Settlement - Tourism T2 L,Wine,468
Orbital - Starport - Coriolis,Water Purifiers,105
Orbital - Starport - Asteroid Base,Water Purifiers,105
Orbital - Starport - Ocellus,Water Purifiers,210
Orbital - Starport - Orbis,Water Purifiers,210
Orbital - Outpost - Commercial,Water Purifiers,38
Orbital - Outpost - Industrial,Water Purifiers,38
Orbital - Outpost - Criminal,Water Purifiers,38
Orbital - Outpost - Civilian,Water Purifiers,38
Orbital - Outpost - Scientific,Water Purifiers,38
Orbital - Outpost - Military,Water Purifiers,38
Orbital - Installation - Satellite,Water Purifiers,13
Orbital - Installation - Comm Station,Water Purifiers,13
Orbital - Installation - Space Farm,Water Purifiers,31
Orbital - Installation - Pirate Base,Water Purifiers,16
Orbital - Installation - Mining Outpost,Water Purifiers,22
Orbital - Installation - Relay Station,Water Purifiers,15
Orbital - Installation - Military,Water Purifiers,42
Orbital - Installation - Security Station,Water Purifiers,19
Orbital - Installation - Government,Water Purifiers,31
Orbital - Installation - Medical,Water Purifiers,38
Orbital - Installation - Research Station,Water Purifiers,38
Orbital - Installation - Tourist,Water Purifiers,39
Orbital - Installation - Space Bar,Water Purifiers,38
Orbital - Starport - Coriolis,Water,1609
Orbital - Starport - Asteroid Base,Water,1609
Orbital - Starport - Ocellus,Water,6436
Orbital - Starport - Orbis,Water,6436
Orbital - Outpost - Commercial,Water,621
Orbital - Outpost - Industrial,Water,621
Orbital - Outpost - Criminal,Water,621
Orbital - Outpost - Civilian,Water,621
Orbital - Outpost - Scientific,Water,621
Orbital - Outpost - Military,Water,621
Orbital - Installation - Satellite,Water,22
Orbital - Installation - Comm Station,Water,22
Orbital - Installation - Space Farm,Water,173
Orbital - Installation - Pirate Base,Water,65
Orbital - Installation - Mining Outpost,Water,73
Orbital - Installation - Relay Station,Water,25
Orbital - Installation - Military,Water,238
Orbital - Installation - Security Station,Water,31
Orbital - Installation - Government,Water,154
Orbital - Installation - Medical,Water,278
Orbital - Installation - Research Station,Water,157
Orbital - Installation - Tourist,Water,324
Orbital - Installation - Space Bar,Water,311
Orbital - Starport - Coriolis,Titanium,8205
Orbital - Starport - Asteroid Base,Titanium,8205
Orbital - Starport - Ocellus,Titanium,32820
Orbital - Starport - Orbis,Titanium,32820
Orbital - Outpost - Commercial,Titanium,4843
Orbital - Outpost - Industrial,Titanium,4843
Orbital - Outpost - Criminal,Titanium,4843
Orbital - Outpost - Civilian,Titanium,4843
Orbital - Outpost - Scientific,Titanium,4843
Orbital - Outpost - Military,Titanium,4843
Orbital - Installation - Satellite,Titanium,1525
Orbital - Installation - Comm Station,Titanium,1525
Orbital - Installation - Space Farm,Titanium,1453
Orbital - Installation - Pirate Base,Titanium,1594
Orbital - Installation - Mining Outpost,Titanium,1628
Orbital - Installation - Relay Station,Titanium,1755
Orbital - Installation - Military,Titanium,2373
Orbital - Installation - Security Station,Titanium,2309
Orbital - Installation - Government,Titanium,2341
Orbital - Installation - Medical,Titanium,2282
Orbital - Installation - Research Station,Titanium,2383
Orbital - Installation - Tourist,Titanium,1813
Orbital - Installation - Space Bar,Titanium,1738
Surface - Planetary Port - Outpost Civilian,Titanium,5760
Surface - Planetary Port - Outpost Industrial,Titanium,5760
Surface - Planetary Port - Outpost Scientific,Titanium,5760
Surface - Planetary Port - Port,Titanium,34560
Surface - Settlement - Industrial T1 S,Thermal Cooling Units,14
Surface - Settlement - Industrial T1 M,Thermal Cooling Units,28
Surface - Settlement - Industrial T2 L,Thermal Cooling Units,42
Surface - Hub - Refinery,Thermal Cooling Units,103
Surface - Hub - High Tech,Thermal Cooling Units,211
Surface - Hub - Industrial,Thermal Cooling Units,117
Orbital - Installation - Tourist,Tea,259
Orbital - Installation - Space Bar,Tea,178
Surface - Settlement - Tourism T1 S,Tea,170
Surface - Settlement - Tourism T1 M,Tea,340
Surface - Settlement - Tourism T2 L,Tea,510
Surface - Planetary Port - Outpost Civilian,Survival Equipment,55
Surface - Planetary Port - Outpost Industrial,Survival Equipment,55
Surface - Planetary Port - Outpost Scientific,Survival Equipment,55
Surface - Planetary Port - Port,Survival Equipment,220
Surface - Settlement - Agriculture T1 S,Survival Equipment,14
Surface - Settlement - Agriculture T1 M,Survival Equipment,28
Surface - Settlement - Agriculture T2 L,Survival Equipment,42
Surface - Settlement - Extraction T1 S,Survival Equipment,15
Surface - Settlement - Extraction T1 M,Survival Equipment,30
Surface - Settlement - Extraction T2 L,Survival Equipment,45
Surface - Settlement - Industrial T1 S,Survival Equipment,14
Surface - Settlement - Industrial T1 M,Survival Equipment,28
Surface - Settlement - Industrial T2 L,Survival Equipment,42
Surface - Settlement - Military T1 S,Survival Equipment,24
Surface - Settlement - Military T1 M,Survival Equipment,48
Surface - Settlement - Military T2 L,Survival Equipment,72
Surface - Settlement - Research Bio T1 S,Survival Equipment,14
Surface - Settlement - Research Bio T1 M,Survival Equipment,28
Surface - Settlement - Research Bio T2 L,Survival Equipment,42
Surface - Settlement - Tourism T1 S,Survival Equipment,15
Surface - Settlement - Tourism T1 M,Survival Equipment,30
Surface - Settlement - Tourism T2 L,Survival Equipment,45
Surface - Hub - Extraction,Survival Equipment,26
Surface - Hub - Civilian,Survival Equipment,38
Surface - Hub - Exploration,Survival Equipment,18
Surface - Hub - Outpost,Survival Equipment,29
Surface - Hub - Scientific,Survival Equipment,27
Surface - Hub - Military,Survival Equipment,50
Surface - Hub - Refinery,Survival Equipment,28
Surface - Hub - High Tech,Survival Equipment,27
Surface - Hub - Industrial,Survival Equipment,25
Surface - Planetary Port - Outpost Civilian,Surface Stabilisers,610
Surface - Planetary Port - Outpost Industrial,Surface Stabilisers,610
Surface - Planetary Port - Outpost Scientific,Surface Stabilisers,610
Surface - Planetary Port - Port,Surface Stabilisers,3660
Surface - Settlement - Agriculture T1 S,Surface Stabilisers,56
Surface - Settlement - Agriculture T1 M,Surface Stabilisers,112
Surface - Settlement - Agriculture T2 L,Surface Stabilisers,168
Surface - Settlement - Extraction T1 S,Surface Stabilisers,89
Surface - Settlement - Extraction T1 M,Surface Stabilisers,178
Surface - Settlement - Extraction T2 L,Surface Stabilisers,267
Surface - Settlement - Industrial T1 S,Surface Stabilisers,68
Surface - Settlement - Industrial T1 M,Surface Stabilisers,136
Surface - Settlement - Industrial T2 L,Surface Stabilisers,204
Surface - Settlement - Military T1 S,Surface Stabilisers,60
Surface - Settlement - Military T1 M,Surface Stabilisers,120
Surface - Settlement - Military T2 L,Surface Stabilisers,180
Surface - Settlement - Research Bio T1 S,Surface Stabilisers,81
Surface - Settlement - Research Bio T1 M,Surface Stabilisers,162
Surface - Settlement - Research Bio T2 L,Surface Stabilisers,243
Surface - Settlement - Tourism T1 S,Surface Stabilisers,57
Surface - Settlement - Tourism T1 M,Surface Stabilisers,114
Surface - Settlement - Tourism T2 L,Surface Stabilisers,171
Surface - Hub - Extraction,Surface Stabilisers,756
Surface - Hub - Civilian,Surface Stabilisers,588
Surface - Hub - Exploration,Surface Stabilisers,1419
Surface - Hub - Outpost,Surface Stabilisers,1061
Surface - Hub - Scientific,Surface Stabilisers,534
Surface - Hub - Military,Surface Stabilisers,583
Surface - Hub - Refinery,Surface Stabilisers,558
Surface - Hub - High Tech,Surface Stabilisers,539
Surface - Hub - Industrial,Surface Stabilisers,498
Orbital - Starport - Coriolis,Superconductors,282
Orbital - Starport - Asteroid Base,Superconductors,282
Orbital - Starport - Ocellus,Superconductors,564
Orbital - Starport - Orbis,Superconductors,564
Orbital - Outpost - Commercial,Superconductors,100
Orbital - Outpost - Industrial,Superconductors,100
Orbital - Outpost - Criminal,Superconductors,100
Orbital - Outpost - Civilian,Superconductors,100
Orbital - Outpost - Scientific,Superconductors,100
Orbital - Outpost - Military,Superconductors,100
Orbital - Installation - Satellite,Superconductors,60
